timestamp,price,kalman_price,velocity,hurst,hurst_regime,z_score,regime,rsi,atr,signal,signal_type,confluence_score,active_factors,confidence,entry,stop_loss,tp1
2025-11-03 00:00:00-05:00,26103.25,26103.25,0.0,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,0.0,0,0.0,,,
2025-11-04 00:00:00-05:00,25575.25,25575.250001056,-527.99999734944,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-0.1878491203900899,2,0.6666666666666666,,,
2025-11-05 00:00:00-05:00,25746.25,25630.32960164155,-177.92039930116442,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-06 00:00:00-05:00,25244.25,25306.141049447935,-240.9456041488541,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,0.04021920721635288,2,0.6666666666666666,,,
2025-11-07 00:00:00-05:00,25166.25,25126.423912706134,-220.1584773425086,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,0.04021920721635288,2,0.6666666666666666,,,
2025-11-10 00:00:00-05:00,25714.5,25338.420747124204,-96.98882884735208,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-11 00:00:00-05:00,25640.75,25433.996715466717,-48.54841846556075,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-12 00:00:00-05:00,25623.75,25491.236919707873,-24.062127403635035,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-13 00:00:00-05:00,25094.75,25312.043788854477,-58.22989793445427,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-14 00:00:00-05:00,25094.0,25190.267962822665,-71.88136819626278,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-17 00:00:00-05:00,24879.0,25026.186547136807,-91.51173483049288,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-18 00:00:00-05:00,24595.75,24806.76432820728,-118.73588032495616,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-19 00:00:00-05:00,24721.75,24700.60399018445,-116.05087230204856,0.5,NEUTRAL,0.0,NEUTRAL,,,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-20 00:00:00-05:00,24131.5,24416.670723610285,-152.02871610905555,0.5,NEUTRAL,0.0,NEUTRAL,23.080073725160133,593.3928571428571,NEUTRAL,NEUTRAL,-0.38466789541933555,2,0.6666666666666666,,,
2025-11-21 00:00:00-05:00,24305.5,24279.736757488576,-148.78428060718988,0.5,NEUTRAL,0.0,NEUTRAL,26.568914956002033,624.7142857142857,NEUTRAL,NEUTRAL,-0.4428152492667006,2,0.6666666666666666,,,
2025-11-24 00:00:00-05:00,24948.25,24432.53335657974,-83.84093642487835,0.5,NEUTRAL,0.0,NEUTRAL,42.06529992405495,632.3035714285714,NEUTRAL,NEUTRAL,-0.46311202557028447,2,0.6666666666666666,,,
2025-11-25 00:00:00-05:00,25085.5,24620.471160687815,-25.258735301014895,0.5,NEUTRAL,0.0,NEUTRAL,41.566149722366916,627.6785714285714,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-11-26 00:00:00-05:00,25302.25,24855.993375320868,30.972457670095444,0.5,NEUTRAL,0.0,NEUTRAL,50.79845814976016,605.5535714285714,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-11-28 00:00:00-05:00,25482.0,25106.43587242838,78.29638670442944,0.5,NEUTRAL,0.0,NEUTRAL,54.228322731817634,574.7321428571429,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-01 00:00:00-05:00,25391.25,25260.90178944182,94.71853654684048,0.5,NEUTRAL,0.5564960431386268,NEUTRAL,45.06676840898494,557.4821428571429,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-02 00:00:00-05:00,25606.0,25447.962314339897,114.62437177225038,0.5,NEUTRAL,0.6763235537417702,NEUTRAL,49.491550223112355,561.4107142857143,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-03 00:00:00-05:00,25657.5,25597.58890990546,122.16871708385753,0.5,NEUTRAL,0.25739523596223374,NEUTRAL,50.48888245091022,555.875,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-04 00:00:00-05:00,25622.75,25683.985693147337,114.45912103967697,0.5,NEUTRAL,-0.26009547122256266,NEUTRAL,58.9264581571995,521.9285714285714,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-05 00:00:00-05:00,25732.0,25773.94457287362,109.17905541378398,0.5,NEUTRAL,-0.1786274775731141,NEUTRAL,60.404435746873915,494.85714285714283,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-08 00:00:00-05:00,25664.0,25802.329849694856,91.76747520498698,0.5,NEUTRAL,-0.5762607980410143,NEUTRAL,63.446385748513585,471.0357142857143,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-09 00:00:00-05:00,25699.75,25822.44120518673,76.3251894074521,0.5,NEUTRAL,-0.5233578801747136,NEUTRAL,70.6625491296654,441.92857142857144,NEUTRAL,NEUTRAL,0.4889575145055768,2,0.6666666666666666,,,
2025-12-10 00:00:00-05:00,25798.0,25861.614429892677,68.3187164526772,0.5,NEUTRAL,-0.27253490712591333,NEUTRAL,70.35460992904076,427.57142857142856,NEUTRAL,NEUTRAL,0.4940898345159873,2,0.6666666666666666,,,
2025-12-11 00:00:00-05:00,25713.5,25850.136437199122,51.121961067859885,0.5,NEUTRAL,-0.5793082185759071,NEUTRAL,86.99719363885791,373.4107142857143,NEUTRAL,NEUTRAL,0.2167134393523682,2,0.6666666666666666,,,
2025-12-12 00:00:00-05:00,25213.5,25647.690268428916,-3.524003719872134,0.5,NEUTRAL,-1.7255913570457155,NEUTRAL,68.4253246752858,367.94642857142856,NEUTRAL,NEUTRAL,-0.999999999999999,1,0.3333333333333333,,,
2025-12-15 00:00:00-05:00,25093.25,25441.050660077497,-47.29717926426704,0.5,NEUTRAL,-1.3210297007334857,NEUTRAL,53.73422611379076,345.7142857142857,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-12-16 00:00:00-05:00,25139.0,25299.82929474186,-67.53869205322417,0.5,NEUTRAL,-0.6098840521720407,NEUTRAL,51.44594594590701,334.375,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-12-17 00:00:00-05:00,24668.75,25024.52079788303,-112.31500160535458,0.5,NEUTRAL,-1.3102255526392976,NEUTRAL,34.941763727098206,355.57142857142856,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-12-18 00:00:00-05:00,25028.25,24954.98972531067,-103.09466854547692,0.5,NEUTRAL,0.26938838573806306,NEUTRAL,40.06350596734651,376.6607142857143,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-12-19 00:00:00-05:00,25132.7890625,24955.45687819384,-80.77613897429777,0.5,NEUTRAL,0.666957749526108,NEUTRAL,44.37404130994741,364.5,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2025-12-22 00:00:00-05:00,25692.25,25176.107454460565,-15.815909004672534,0.5,NEUTRAL,1.8024938325829434,NEUTRAL,51.63244061698788,387.12220982142856,NEUTRAL,NEUTRAL,-0.46569418704280346,2,0.6666666666666666,,,
2025-12-23 00:00:00-05:00,25812.25,25400.659778636706,35.985646819716614,0.5,NEUTRAL,1.4766676913037748,NEUTRAL,52.85490268422692,383.5864955357143,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-24 00:00:00-05:00,25880.5,25600.288566934538,71.25223788929829,0.5,NEUTRAL,1.047227709491823,NEUTRAL,54.69703872434566,374.35435267857144,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-26 00:00:00-05:00,25863.25,25742.221369988874,86.48454376300012,0.5,NEUTRAL,0.48084883708152437,NEUTRAL,52.47478080510098,360.97935267857144,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-29 00:00:00-05:00,25739.75,25795.909084103445,79.41652839420553,0.5,NEUTRAL,-0.23534480824578558,NEUTRAL,51.39902114689372,357.3900669642857,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-30 00:00:00-05:00,25675.25,25801.560472289806,63.51946934658427,0.5,NEUTRAL,-0.5302841220081216,NEUTRAL,49.552266081845985,353.80078125,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2025-12-31 00:00:00-05:00,25456.75,25714.53428522116,31.075510279819525,0.5,NEUTRAL,-1.0716637368790591,NEUTRAL,44.0262582056677,349.92578125,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-02 00:00:00-05:00,25385.25,25612.750077442743,2.443031733479053,0.5,NEUTRAL,-0.9357295103038217,NEUTRAL,44.22755649342763,354.2114955357143,NEUTRAL,NEUTRAL,0.9999999999509004,1,0.3333333333333333,,,
2026-01-05 00:00:00-05:00,25577.75,25601.38834810172,-0.5320199487642117,0.5,NEUTRAL,-0.09721384297276747,NEUTRAL,57.182293207106355,333.31863839285717,NEUTRAL,NEUTRAL,-0.9902640704464782,1,0.3333333333333333,,,
2026-01-06 00:00:00-05:00,25822.0,25682.388968084146,17.03900626720496,0.5,NEUTRAL,0.5663861657537415,NEUTRAL,63.69959582664191,328.56863839285717,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-07 00:00:00-05:00,25838.75,25750.794095005553,28.108872962505913,0.5,NEUTRAL,0.35644505355281925,NEUTRAL,63.299439323353184,321.05078125,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-08 00:00:00-05:00,25687.5,25745.20394689649,20.846427077044428,0.5,NEUTRAL,-0.23468242538831585,NEUTRAL,72.03417324533325,297.42578125,NEUTRAL,NEUTRAL,0.4660971125777792,2,0.6666666666666666,,,
2026-01-09 00:00:00-05:00,25938.25,25829.538015069025,34.52859182369491,0.5,NEUTRAL,0.43961599668103757,NEUTRAL,70.6536541079896,287.47935267857144,NEUTRAL,NEUTRAL,0.4891057648668401,2,0.6666666666666666,,,
2026-01-12 00:00:00-05:00,25956.75,25898.237703154,41.89277421501309,0.5,NEUTRAL,0.23777614694191992,NEUTRAL,69.4609386243825,302.1400669642857,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-13 00:00:00-05:00,25906.0,25927.5470383248,39.18092852230156,0.5,NEUTRAL,-0.09552542526556979,NEUTRAL,56.645422042543565,272.1607142857143,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-14 00:00:00-05:00,25631.0,25842.949668635887,12.505578199504829,0.5,NEUTRAL,-0.9797367415587331,NEUTRAL,44.860343116368746,292.92857142857144,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-15 00:00:00-05:00,25705.75,25800.260974942063,0.6107100397369223,0.5,NEUTRAL,-0.44169385165135694,NEUTRAL,45.06286198612059,312.625,NEUTRAL,NEUTRAL,0.995555899263998,1,0.3333333333333333,,,
2026-01-16 00:00:00-05:00,25689.0,25759.626128611304,-8.27808291480739,0.5,NEUTRAL,-0.35887216139209693,NEUTRAL,45.075597004344715,326.80357142857144,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2026-01-20 00:00:00-05:00,25129.25,25521.989025911393,-57.7070400771734,0.5,NEUTRAL,-1.8009237949837928,NEUTRAL,36.15960099748328,351.6607142857143,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2026-01-21 00:00:00-05:00,25471.0,25466.75882554543,-57.17325856688292,0.5,NEUTRAL,0.01972679878095496,NEUTRAL,45.88661766184101,387.5892857142857,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2026-01-22 00:00:00-05:00,25658.25,25501.264733952994,-37.415563311934854,0.5,NEUTRAL,0.8495071488538416,NEUTRAL,54.10972873747675,386.23214285714283,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2026-01-23 00:00:00-05:00,25738.25,25565.01699406577,-15.612976194208418,0.5,NEUTRAL,1.0575373801069574,NEUTRAL,57.174796747934934,369.5892857142857,NEUTRAL,NEUTRAL,-1.0,1,0.3333333333333333,,,
2026-01-26 00:00:00-05:00,25848.5,25659.676605520654,8.151770516238681,0.5,NEUTRAL,1.2068013405519065,NEUTRAL,55.69340763323395,387.3392857142857,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-27 00:00:00-05:00,26073.0,25817.209598405872,40.344784107410575,0.5,NEUTRAL,1.5477433002838774,NEUTRAL,55.32230703983144,385.14285714285717,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-28 00:00:00-05:00,26156.25,25967.679361207032,64.07771974423316,0.5,NEUTRAL,1.1029183912243037,NEUTRAL,56.547741802400836,391.32142857142856,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-29 00:00:00-05:00,25999.25,26019.77216591545,61.494861426960476,0.5,NEUTRAL,-0.12157984127649554,NEUTRAL,56.4139491821504,425.55357142857144,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-01-30 00:00:00-05:00,25670.0,25929.63851332358,28.817536022541034,0.5,NEUTRAL,-1.5368921625701395,NEUTRAL,44.65371200794718,431.35714285714283,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-02-02 00:00:00-05:00,25850.0,25918.469791014224,20.20013326243307,0.5,NEUTRAL,-0.4235135198520009,NEUTRAL,48.00112349028473,458.60714285714283,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
2026-02-03 00:00:00-05:00,25984.25,25955.474673238554,23.82170967713998,0.5,NEUTRAL,0.17809063681191004,NEUTRAL,51.420789832021065,452.5357142857143,NEUTRAL,NEUTRAL,1.0,1,0.3333333333333333,,,
